pH,k_leak,ngam_base,ngam_extra,ngam_total,pH_cytosol,pump_cost_kJ_per_mol,mu
6.75,0.005,0.7,3.8913970501946137e-07,0.700000389139705,7.0,18.851921522825,0.025528988360707584
7.0,0.005,0.7,0.0,0.7,7.0,17.3673,0.025528991367616802
7.25,0.005,0.7,-2.1882933740482546e-07,0.6999997811706625,7.0,15.882678477174998,0.025528993058525837
7.5,0.005,0.7,-3.41886116991581e-07,0.699999658113883,7.0,14.398056954349999,0.025528994009393676
1.5,0.01,0.7,0.31622675471932904,1.0162267547193289,6.995121062556256,50.0,0.023085486206519734
1.75,0.01,0.7,0.17782694100389232,0.8778269410038922,7.0,48.54435197932499,0.02415491076994316
2.0,0.01,0.7,0.09999900000000002,0.799999,7.0,47.05973045649999,0.024756292445220745
2.25,0.01,0.7,0.056233132519034904,0.7562331325190349,7.0,45.575108933675004,0.025094474213440545
2.5,0.01,0.7,0.03162177660168379,0.7316217766016837,7.0,44.090487410849995,0.02528464779713705
2.75,0.01,0.7,0.017781794100389228,0.7177817941003892,7.0,42.605865888025,0.02539159026220895
3.0,0.01,0.7,0.009999000000000001,0.7099989999999999,7.0,41.12124436519999,0.025451728429737055
3.25,0.01,0.7,0.005622413251903492,0.7056224132519034,7.0,39.636622842375,0.025485546606558777
3.5,0.01,0.7,0.0031612776601683797,0.7031612776601683,7.0,38.152001319549996,0.025504563964929318
3.75,0.01,0.7,0.0017772794100389226,0.7017772794100389,7.0,36.667379796725,0.025515258211436524
4.0,0.01,0.7,0.000999,0.7009989999999999,7.0,35.18275827389999,0.025521272028188064
4.25,0.01,0.7,0.0005613413251903491,0.7005613413251903,7.0,33.698136751075,0.02552465384587131
4.5,0.01,0.7,0.00031522776601683797,0.7003152277660168,7.0,32.213515228249996,0.02552655558170809
4.75,0.01,0.7,0.0001768279410038923,0.7001768279410039,7.0,30.728893705424998,0.025527625006358187
5.0,0.01,0.7,9.9e-05,0.7000989999999999,7.0,29.2442721826,0.025528226388033655
5.25,0.01,0.7,5.5234132519034917e-05,0.700055234132519,7.0,27.759650659774998,0.025528564569802188
5.5,0.01,0.7,3.06227766016838e-05,0.7000306227766017,7.0,26.275029136949996,0.025528754743387776
5.75,0.01,0.7,1.678279410038923e-05,0.7000167827941003,7.0,24.790407614124998,0.02552886168585092
6.0,0.01,0.7,9e-06,0.700009,7.0,23.305786091299996,0.02552892182401844
6.25,0.01,0.7,4.623413251903491e-06,0.7000046234132519,7.0,21.821164568474998,0.025528955642195015
6.5,0.01,0.7,2.1622776601683794e-06,0.7000021622776601,7.0,20.33654304565,0.025528974659553248
6.75,0.01,0.7,7.782794100389227e-07,0.70000077827941,7.0,18.851921522825,0.025528985353799744
7.0,0.01,0.7,0.0,0.7,7.0,17.3673,0.025528991367616844
7.25,0.01,0.7,-4.376586748096509e-07,0.6999995623413251,7.0,15.882678477174998,0.025528994749415845
7.5,0.01,0.7,-6.83772233983162e-07,0.699999316227766,7.0,14.398056954349999,0.025528996651170553
1.5,0.02,0.7,0.6324535094386581,1.332453509438658,6.995121062556256,50.0,0.020641981045422246
1.75,0.02,0.7,0.35565388200778464,1.0556538820077845,7.0,48.54435197932499,0.022780830172269593
2.0,0.02,0.7,0.19999800000000004,0.899998,7.0,47.05973045649999,0.023983593522823796
2.25,0.02,0.7,0.11246626503806981,0.8124662650380697,7.0,45.575108933675004,0.024659957059265384
2.5,0.02,0.7,0.06324355320336758,0.7632435532033676,7.0,44.090487410849995,0.02504030422665714
2.75,0.02,0.7,0.035563588200778457,0.7355635882007784,7.0,42.605865888025,0.02525418915680213
3.0,0.02,0.7,0.019998000000000002,0.7199979999999999,7.0,41.12124436519999,0.025374465491857408
3.25,0.02,0.7,0.011244826503806983,0.7112448265038069,7.0,39.636622842375,0.02544210184550158
3.5,0.02,0.7,0.006322555320336759,0.7063225553203367,7.0,38.152001319549996,0.02548013656224032
3.75,0.02,0.7,0.0035545588200778452,0.7035545588200778,7.0,36.667379796725,0.025501525055254933
4.0,0.02,0.7,0.001998,0.701998,7.0,35.18275827389999,0.02551355268876103
4.25,0.02,0.7,0.0011226826503806981,0.7011226826503807,7.0,33.698136751075,0.025520316324125217
4.5,0.02,0.7,0.0006304555320336759,0.7006304555320336,7.0,32.213515228249996,0.025524119795798706
4.75,0.02,0.7,0.0003536558820077846,0.7003536558820077,7.0,30.728893705424998,0.02552625864510084
5.0,0.02,0.7,0.000198,0.700198,7.0,29.2442721826,0.02552746140845036
5.25,0.02,0.7,0.00011046826503806983,0.700110468265038,7.0,27.759650659774998,0.02552813777198765
5.5,0.02,0.7,6.12455532033676e-05,0.7000612455532034,7.0,26.275029136949996,0.025528518119154364
5.75,0.02,0.7,3.356558820077846e-05,0.7000335655882007,7.0,24.790407614124998,0.025528732004084873
6.0,0.02,0.7,1.8e-05,0.7000179999999999,7.0,23.305786091299996,0.025528852280420268
6.25,0.02,0.7,9.246826503806981e-06,0.7000092468265038,7.0,21.821164568474998,0.025528919916774313
6.5,0.02,0.7,4.324555320336759e-06,0.7000043245553202,7.0,20.33654304565,0.02552895795148996
6.75,0.02,0.7,1.5565588200778455e-06,0.70000155655882,7.0,18.851921522825,0.025528979339983073
7.0,0.02,0.7,0.0,0.7,7.0,17.3673,0.025528991367617743
7.25,0.02,0.7,-8.753173496193018e-07,0.6999991246826504,7.0,15.882678477174998,0.02552899813125164
