gene,growth,ratio,classification,model,wt_growth
YDR248C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR256C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR261C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR268W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR270W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR272W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR284C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR287W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR294C,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR297W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
YDR298C,0.03418061766637004,0.4067074346268909,growth_reduced,CNCM_I745,0.084042
YDR300C,0.08404225581836032,0.9999997834378568,neutral,CNCM_I745,0.084042
YDR302W,0.08404225581835983,0.999999783437851,neutral,CNCM_I745,0.084042
YDR305C,0.08404225581835983,0.999999783437851,neutral,CNCM_I745,0.084042
YDR315C,0.08404225581835983,0.999999783437851,neutral,CNCM_I745,0.084042
YDR321W,0.08404225581835983,0.999999783437851,neutral,CNCM_I745,0.084042
YDR322C-A,0.03418061809554682,0.4067074397335683,growth_reduced,CNCM_I745,0.084042
YDR341C,0.0,0.0,essential,CNCM_I745,0.084042
YDR342C,0.08404225581836074,0.9999997834378617,neutral,CNCM_I745,0.084042
YDR343C,0.08404225581836078,0.9999997834378622,neutral,CNCM_I745,0.084042
YDR345C,0.08404225581836078,0.9999997834378622,neutral,CNCM_I745,0.084042
YDR352W,0.08404225581836078,0.9999997834378622,neutral,CNCM_I745,0.084042
YDR353W,8.796615648347467e-16,1.0466893894834953e-14,essential,CNCM_I745,0.084042
YDR354W,0.0,0.0,essential,CNCM_I745,0.084042
YDR367W,0.08404225581836172,0.9999997834378734,neutral,CNCM_I745,0.084042
YDR368W,0.08404225581836038,0.9999997834378574,neutral,CNCM_I745,0.084042
YDR371W,0.08404225581836038,0.9999997834378574,neutral,CNCM_I745,0.084042
YDR373W,0.08404225581836038,0.9999997834378574,neutral,CNCM_I745,0.084042
YDR376W,0.08404225581836038,0.9999997834378574,neutral,CNCM_I745,0.084042
YDR377W,0.034180617666370414,0.40670743462689535,growth_reduced,CNCM_I745,0.084042
YDR380W,0.08404225581836039,0.9999997834378576,neutral,CNCM_I745,0.084042
YDR384C,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR387C,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR399W,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR400W,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR402C,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR403W,0.08404225581836139,0.9999997834378694,neutral,CNCM_I745,0.084042
YDR408C,9.117354008901113e-15,1.0848533211831711e-13,essential,CNCM_I745,0.084042
YDR428C,0.0,0.0,essential,CNCM_I745,0.084042
YDR437W,0.08404225581835938,0.9999997834378456,neutral,CNCM_I745,0.084042
YDR441C,0.08404225581836006,0.9999997834378536,neutral,CNCM_I745,0.084042
YDR452W,0.08404225581836006,0.9999997834378536,neutral,CNCM_I745,0.084042
YDR453C,0.08404225581836006,0.9999997834378536,neutral,CNCM_I745,0.084042
YDR454C,2.203278320479048e-15,2.621631013920301e-14,essential,CNCM_I745,0.084042
YDR456W,0.08404225581836042,0.9999997834378579,neutral,CNCM_I745,0.084042
YDR481C,0.08404225581835949,0.9999997834378468,neutral,CNCM_I745,0.084042
YDR483W,0.08404225581835949,0.9999997834378468,neutral,CNCM_I745,0.084042
YDR487C,0.0,0.0,essential,CNCM_I745,0.084042
YDR497C,0.08404225581836046,0.9999997834378584,neutral,CNCM_I745,0.084042
YDR502C,0.08404225581835979,0.9999997834378505,neutral,CNCM_I745,0.084042
YDR503C,0.08404225581835979,0.9999997834378505,neutral,CNCM_I745,0.084042
YDR508C,0.0,0.0,essential,CNCM_I745,0.084042
YDR513W,0.08404225581836022,0.9999997834378556,neutral,CNCM_I745,0.084042
YDR516C,0.08404225581836007,0.9999997834378538,neutral,CNCM_I745,0.084042
YDR529C,0.024371218998686373,0.289987619721634,growth_reduced,CNCM_I745,0.084042
YDR530C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YDR531W,0.0,0.0,essential,CNCM_I745,0.084042
YDR533C,0.08404225581835963,0.9999997834378485,neutral,CNCM_I745,0.084042
YDR536W,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
YDR538W,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
YDR539W,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
YEL004W,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
YEL006W,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
YEL017C-A,0.08404225581835952,0.9999997834378471,neutral,CNCM_I745,0.084042
