gene,growth,ratio,classification,model,wt_growth
YDR072C,0.08404225581835988,1.0000001412361947,neutral,Yeast9_base,0.084042
YDR074W,0.0,0.0,essential,Yeast9_base,0.084042
YDR093W,0.0840422558183592,1.0000001412361867,neutral,Yeast9_base,0.084042
YDR098C,0.08404225581835939,1.000000141236189,neutral,Yeast9_base,0.084042
YDR105C,0.08404225581835939,1.000000141236189,neutral,Yeast9_base,0.084042
YDR109C,0.08404225581835939,1.000000141236189,neutral,Yeast9_base,0.084042
YDR111C,0.08404225581835939,1.000000141236189,neutral,Yeast9_base,0.084042
YDR127W,0.0,0.0,essential,Yeast9_base,0.084042
YDR135C,0.08404225581836026,1.0000001412361994,neutral,Yeast9_base,0.084042
YDR147W,0.08404225581836025,1.0000001412361992,neutral,Yeast9_base,0.084042
YDR148C,0.08404225581835997,1.0000001412361958,neutral,Yeast9_base,0.084042
YDR158W,0.0,0.0,essential,Yeast9_base,0.084042
YDR173C,0.08404223275702445,0.999999866834485,neutral,Yeast9_base,0.084042
YDR178W,0.08404223275702476,0.9999998668344887,neutral,Yeast9_base,0.084042
YDR191W,0.08404223275702476,0.9999998668344887,neutral,Yeast9_base,0.084042
YDR196C,0.0,0.0,essential,Yeast9_base,0.084042
YDR204W,0.08404223275702463,0.9999998668344873,neutral,Yeast9_base,0.084042
YDR208W,0.08404223275702455,0.9999998668344863,neutral,Yeast9_base,0.084042
YDR226W,0.08404223275702455,0.9999998668344863,neutral,Yeast9_base,0.084042
YDR231C,0.08404223275702455,0.9999998668344863,neutral,Yeast9_base,0.084042
YDR232W,0.0,0.0,essential,Yeast9_base,0.084042
YDR234W,0.0,0.0,essential,Yeast9_base,0.084042
YDR236C,0.08404223275702455,0.9999998668344863,neutral,Yeast9_base,0.084042
YDR242W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR248C,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR256C,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR261C,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR268W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR270W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR272W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR284C,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR287W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR294C,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR297W,0.08404223275702545,0.9999998668344969,neutral,Yeast9_base,0.084042
YDR298C,0.03418061809554704,0.40670758525285056,growth_reduced,Yeast9_base,0.084042
YDR300C,0.08404225581836032,1.0000001412362,neutral,Yeast9_base,0.084042
YDR302W,0.08404225581835952,1.0000001412361905,neutral,Yeast9_base,0.084042
YDR305C,0.08404225581835952,1.0000001412361905,neutral,Yeast9_base,0.084042
YDR315C,0.08404225581835952,1.0000001412361905,neutral,Yeast9_base,0.084042
YDR321W,0.08404225581835952,1.0000001412361905,neutral,Yeast9_base,0.084042
YDR322C-A,0.034180617666369824,0.40670758014616615,growth_reduced,Yeast9_base,0.084042
YDR341C,0.0,0.0,essential,Yeast9_base,0.084042
YDR342C,0.08404225581835884,1.0000001412361823,neutral,Yeast9_base,0.084042
YDR343C,0.08404225581835975,1.0000001412361932,neutral,Yeast9_base,0.084042
YDR345C,0.08404225581835975,1.0000001412361932,neutral,Yeast9_base,0.084042
YDR352W,0.08404225581835975,1.0000001412361932,neutral,Yeast9_base,0.084042
YDR353W,0.0,0.0,essential,Yeast9_base,0.084042
YDR354W,0.0,0.0,essential,Yeast9_base,0.084042
YDR367W,0.08404225581835868,1.0000001412361805,neutral,Yeast9_base,0.084042
YDR368W,0.08404225581835915,1.000000141236186,neutral,Yeast9_base,0.084042
YDR371W,0.08404225581835915,1.000000141236186,neutral,Yeast9_base,0.084042
YDR373W,0.08404225581835915,1.000000141236186,neutral,Yeast9_base,0.084042
YDR376W,0.08404225581835915,1.000000141236186,neutral,Yeast9_base,0.084042
YDR377W,0.03418061766637002,0.4067075801461685,growth_reduced,Yeast9_base,0.084042
YDR380W,0.08404225581836033,1.0000001412362003,neutral,Yeast9_base,0.084042
YDR384C,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR387C,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR399W,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR400W,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR402C,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR403W,0.0840422558183603,1.0000001412361998,neutral,Yeast9_base,0.084042
YDR408C,2.3172417251298026e-15,2.7572344766856927e-14,essential,Yeast9_base,0.084042
YDR428C,0.0,0.0,essential,Yeast9_base,0.084042
YDR437W,0.08404225581836006,1.000000141236197,neutral,Yeast9_base,0.084042
YDR441C,0.08404225581836097,1.0000001412362078,neutral,Yeast9_base,0.084042
YDR452W,0.08404225581836097,1.0000001412362078,neutral,Yeast9_base,0.084042
YDR453C,0.08404225581836097,1.0000001412362078,neutral,Yeast9_base,0.084042
YDR454C,0.0,0.0,essential,Yeast9_base,0.084042
YDR456W,0.08404225581836022,1.000000141236199,neutral,Yeast9_base,0.084042
YDR481C,0.08404225581835996,1.0000001412361958,neutral,Yeast9_base,0.084042
YDR483W,0.08404225581835996,1.0000001412361958,neutral,Yeast9_base,0.084042
YDR487C,0.0,0.0,essential,Yeast9_base,0.084042
YDR497C,0.08404225581835971,1.0000001412361927,neutral,Yeast9_base,0.084042
YDR502C,0.08404225581836026,1.0000001412361994,neutral,Yeast9_base,0.084042
YDR503C,0.08404225581836026,1.0000001412361994,neutral,Yeast9_base,0.084042
YDR508C,0.0,0.0,essential,Yeast9_base,0.084042
YDR513W,0.08404225581836033,1.0000001412362003,neutral,Yeast9_base,0.084042
YDR516C,0.08404225581836057,1.000000141236203,neutral,Yeast9_base,0.084042
YDR529C,0.024371218998685728,0.2899877234787387,growth_reduced,Yeast9_base,0.084042
YDR530C,0.08404225581836096,1.0000001412362076,neutral,Yeast9_base,0.084042
YDR531W,0.0,0.0,essential,Yeast9_base,0.084042
YDR533C,0.08404225581835968,1.0000001412361925,neutral,Yeast9_base,0.084042
YDR536W,0.08404225581836014,1.0000001412361978,neutral,Yeast9_base,0.084042
YDR538W,0.08404225581836014,1.0000001412361978,neutral,Yeast9_base,0.084042
YDR539W,0.08404225581836014,1.0000001412361978,neutral,Yeast9_base,0.084042
