zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YBR268W,-0.1795,0.5089,4
duodenum,YBR269C,1.7417,0.2191,4
duodenum,YBR270C,0.0302,0.2365,4
duodenum,YBR271W,-1.6078,0.4624,4
duodenum,YBR272C,0.4255,0.2484,4
duodenum,YBR273C,1.038,0.3767,4
duodenum,YBR274W,0.198,0.1,4
duodenum,YBR275C,-0.5995,0.284,4
duodenum,YBR276C,-0.3072,0.2188,4
duodenum,YBR277C,0.307,0.6902,4
duodenum,YBR278W,0.0698,0.1162,4
duodenum,YBR279W,0.6183,0.1,4
duodenum,YBR280C,2.2468,0.7385,4
duodenum,YBR281C,0.2805,0.1,4
duodenum,YBR282W,0.6182,0.1831,4
duodenum,YBR283C,-0.483,0.2954,4
duodenum,YBR284W,0.8952,0.3896,4
duodenum,YBR285W,2.673,0.6413,4
duodenum,YBR286W,0.6571,0.2601,4
duodenum,YBR286W-100,0.4935,0.5581,4
duodenum,YBR286W-1000,-0.7248,0.8002,4
duodenum,YBR286W-1050,-0.0802,0.3196,4
duodenum,YBR286W-1100,0.1015,0.4113,4
duodenum,YBR286W-1150,-0.6987,1.1892,4
duodenum,YBR286W-1200,-0.5647,0.315,4
duodenum,YBR286W-1250,-0.1863,2.0246,4
duodenum,YBR286W-1300,-0.3922,1.0063,4
duodenum,YBR286W-1350,-0.1363,1.0487,4
duodenum,YBR286W-1400,-0.184,0.9383,4
duodenum,YBR286W-1450,-0.784,1.0911,4
duodenum,YBR286W-150,0.5095,0.5698,4
duodenum,YBR286W-1500,-0.422,0.5316,4
duodenum,YBR286W-1550,-1.0837,0.7571,4
duodenum,YBR286W-1600,-0.026,0.3623,4
duodenum,YBR286W-1650,-0.761,0.3086,4
duodenum,YBR286W-200,0.3103,0.4818,4
duodenum,YBR286W-250,0.664,0.53,4
duodenum,YBR286W-300,0.359,0.4994,4
duodenum,YBR286W-350,0.5453,0.5363,4
duodenum,YBR286W-400,0.2587,0.4832,4
duodenum,YBR286W-450,0.3173,0.5779,4
duodenum,YBR286W-50,0.6562,0.6181,4
duodenum,YBR286W-500,-0.0047,0.4454,4
duodenum,YBR286W-550,0.2935,0.5349,4
duodenum,YBR286W-600,0.0903,0.4438,4
duodenum,YBR286W-650,0.3235,0.5881,4
duodenum,YBR286W-700,0.0543,0.4832,4
duodenum,YBR286W-750,-0.1225,0.5465,4
duodenum,YBR286W-800,-0.278,0.6272,4
duodenum,YBR286W-850,0.585,0.5238,4
duodenum,YBR286W-900,-0.217,0.6939,4
duodenum,YBR286W-950,-0.3027,0.813,4
duodenum,YBR286W-FULL,0.4352,0.403,4
